"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 12:56:52 GMT 2025","Fri Mar 28 12:57:46 GMT 2025","53452","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 12:59:07 GMT 2025","Fri Mar 28 12:59:15 GMT 2025","8734","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 12:58:57 GMT 2025","Fri Mar 28 12:59:06 GMT 2025","9689","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"broken","Fri Mar 28 12:59:16 GMT 2025","Fri Mar 28 13:00:09 GMT 2025","53384","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 13:00:09 GMT 2025","Fri Mar 28 13:00:18 GMT 2025","8897","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 12:58:04 GMT 2025","Fri Mar 28 12:58:56 GMT 2025","52354","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
