"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 28 12:41:31 GMT 2025","Fri Mar 28 12:42:33 GMT 2025","62214","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 12:42:33 GMT 2025","Fri Mar 28 12:42:43 GMT 2025","9538","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Fri Mar 28 12:43:43 GMT 2025","Fri Mar 28 12:43:52 GMT 2025","8770","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 12:42:43 GMT 2025","Fri Mar 28 12:42:50 GMT 2025","7284","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"failed","Fri Mar 28 12:42:51 GMT 2025","Fri Mar 28 12:42:51 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","afterTest","afterTest",""
"broken","Fri Mar 28 12:42:51 GMT 2025","Fri Mar 28 12:43:43 GMT 2025","52245","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 12:40:18 GMT 2025","Fri Mar 28 12:41:12 GMT 2025","53587","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
