"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 12:51:13 GMT 2025","Fri Mar 28 12:52:04 GMT 2025","50491","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 12:53:47 GMT 2025","Fri Mar 28 12:53:58 GMT 2025","11221","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 12:52:24 GMT 2025","Fri Mar 28 12:53:16 GMT 2025","52376","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Fri Mar 28 12:53:34 GMT 2025","Fri Mar 28 12:53:34 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","afterTest","afterTest",""
"passed","Fri Mar 28 12:53:26 GMT 2025","Fri Mar 28 12:53:34 GMT 2025","8131","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 12:53:34 GMT 2025","Fri Mar 28 12:53:46 GMT 2025","11984","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 12:53:17 GMT 2025","Fri Mar 28 12:53:26 GMT 2025","8980","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
