"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 12:15:36 GMT 2025","Fri Mar 28 12:15:48 GMT 2025","12137","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"failed","Fri Mar 28 12:15:14 GMT 2025","Fri Mar 28 12:15:35 GMT 2025","20929","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 12:14:08 GMT 2025","Fri Mar 28 12:15:03 GMT 2025","55589","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 12:16:00 GMT 2025","Fri Mar 28 12:16:07 GMT 2025","6711","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunsTheBuildSucessfully","User should be able to run the build",""
"passed","Fri Mar 28 12:12:56 GMT 2025","Fri Mar 28 12:13:49 GMT 2025","53104","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 12:15:04 GMT 2025","Fri Mar 28 12:15:14 GMT 2025","10277","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"failed","Fri Mar 28 12:16:07 GMT 2025","Fri Mar 28 12:16:07 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 12:15:48 GMT 2025","Fri Mar 28 12:16:00 GMT 2025","11714","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
