"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 10:31:44 GMT 2025","Fri Mar 28 10:31:57 GMT 2025","13552","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"failed","Fri Mar 28 10:32:14 GMT 2025","Fri Mar 28 10:32:14 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 10:32:08 GMT 2025","Fri Mar 28 10:32:14 GMT 2025","6434","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunsTheBuildSucessfully","User should be able to run the build",""
"failed","Fri Mar 28 10:31:25 GMT 2025","Fri Mar 28 10:31:43 GMT 2025","18705","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 10:29:05 GMT 2025","Fri Mar 28 10:30:03 GMT 2025","58411","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 10:31:58 GMT 2025","Fri Mar 28 10:32:08 GMT 2025","9934","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 10:31:15 GMT 2025","Fri Mar 28 10:31:24 GMT 2025","9314","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to crete project without name",""
"failed","Fri Mar 28 10:30:23 GMT 2025","Fri Mar 28 10:31:15 GMT 2025","51311","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
