"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 11:53:25 GMT 2025","Fri Mar 28 11:54:17 GMT 2025","52125","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Fri Mar 28 11:54:28 GMT 2025","Fri Mar 28 11:54:48 GMT 2025","19910","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 11:54:48 GMT 2025","Fri Mar 28 11:55:00 GMT 2025","12000","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 11:55:00 GMT 2025","Fri Mar 28 11:55:09 GMT 2025","8717","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 11:55:09 GMT 2025","Fri Mar 28 11:55:16 GMT 2025","6787","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunsTheBuildSucessfully","User should be able to run the build",""
"passed","Fri Mar 28 11:54:18 GMT 2025","Fri Mar 28 11:54:28 GMT 2025","9949","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to crete project without name",""
"failed","Fri Mar 28 11:55:16 GMT 2025","Fri Mar 28 11:55:16 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 11:52:06 GMT 2025","Fri Mar 28 11:53:06 GMT 2025","60035","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
