"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 12:32:13 GMT 2025","Fri Mar 28 12:33:06 GMT 2025","52498","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Fri Mar 28 12:33:16 GMT 2025","Fri Mar 28 12:33:24 GMT 2025","7646","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Fri Mar 28 12:33:36 GMT 2025","Fri Mar 28 12:33:47 GMT 2025","11062","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Fri Mar 28 12:33:24 GMT 2025","Fri Mar 28 12:33:36 GMT 2025","11630","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 12:33:06 GMT 2025","Fri Mar 28 12:33:16 GMT 2025","9607","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Fri Mar 28 12:31:04 GMT 2025","Fri Mar 28 12:31:54 GMT 2025","50250","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
