"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 11:14:13 GMT 2025","Fri Mar 28 11:15:10 GMT 2025","56502","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 11:16:12 GMT 2025","Fri Mar 28 11:16:19 GMT 2025","6507","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunsTheBuildSucessfully","User should be able to run the build",""
"passed","Fri Mar 28 11:16:03 GMT 2025","Fri Mar 28 11:16:12 GMT 2025","9728","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"failed","Fri Mar 28 11:15:31 GMT 2025","Fri Mar 28 11:15:50 GMT 2025","18335","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"failed","Fri Mar 28 11:16:19 GMT 2025","Fri Mar 28 11:16:19 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 11:15:50 GMT 2025","Fri Mar 28 11:16:02 GMT 2025","11994","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 11:13:00 GMT 2025","Fri Mar 28 11:13:54 GMT 2025","53405","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Fri Mar 28 11:15:10 GMT 2025","Fri Mar 28 11:15:31 GMT 2025","21136","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to crete project without name",""
