"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 28 10:16:54 GMT 2025","Fri Mar 28 10:16:54 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","afterTest","afterTest",""
"passed","Fri Mar 28 10:17:48 GMT 2025","Fri Mar 28 10:17:55 GMT 2025","6590","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunsTheBuildSucessfully","User should be able to run the build",""
"passed","Fri Mar 28 10:14:29 GMT 2025","Fri Mar 28 10:15:23 GMT 2025","54092","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 10:17:39 GMT 2025","Fri Mar 28 10:17:48 GMT 2025","9504","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"broken","Fri Mar 28 10:16:54 GMT 2025","Fri Mar 28 10:17:38 GMT 2025","43805","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Fri Mar 28 10:15:40 GMT 2025","Fri Mar 28 10:16:36 GMT 2025","56024","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 10:16:37 GMT 2025","Fri Mar 28 10:16:46 GMT 2025","9377","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to crete project without name",""
"failed","Fri Mar 28 10:17:55 GMT 2025","Fri Mar 28 10:17:55 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 10:16:46 GMT 2025","Fri Mar 28 10:16:54 GMT 2025","7766","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
