"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 14:30:26 GMT 2025","Tue Apr 01 14:30:38 GMT 2025","11860","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithEmptyBuildName","User should not be able to create build with empty name",""
"passed","Tue Apr 01 14:28:52 GMT 2025","Tue Apr 01 14:29:51 GMT 2025","58181","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 14:29:51 GMT 2025","Tue Apr 01 14:30:02 GMT 2025","10851","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Apr 01 14:30:02 GMT 2025","Tue Apr 01 14:30:12 GMT 2025","10175","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userSearchesProjectByItsName","User should be able to search for project by its full name",""
"passed","Tue Apr 01 14:30:13 GMT 2025","Tue Apr 01 14:30:26 GMT 2025","12817","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build",""
"passed","Tue Apr 01 14:27:38 GMT 2025","Tue Apr 01 14:28:32 GMT 2025","54001","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
